year,imdb,title,test,clean_test,binary,budget,Country,Genre,isUSFilm,Production,RT_Score
2013,tt1711425,21 &amp; Over,notalk,notalk,FAIL,13000000,USA,Comedy,True,Relativity Media,25
2012,tt1343727,Dredd 3D,ok-disagree,ok,PASS,45000000,"UK, South Africa, USA, India","Action, Crime, Sci-Fi",True,Lionsgate Films,79
2013,tt2024544,12 Years a Slave,notalk-disagree,notalk,FAIL,20000000,"USA, UK","Biography, Drama, History",True,Fox Searchlight,95
2013,tt1272878,2 Guns,notalk,notalk,FAIL,61000000,USA,"Action, Comedy, Crime, Thriller",True,Universal Pictures,64
2013,tt0453562,42,men,men,FAIL,40000000,USA,"Biography, Drama, Sport",True,Warner Bros. Pictures,80
2013,tt1335975,47 Ronin,men,men,FAIL,225000000,"USA, UK, Japan, Hungary","Action, Adventure, Drama, Fantasy",True,Universal Pictures,15
2013,tt1606378,A Good Day to Die Hard,notalk,notalk,FAIL,92000000,"USA, Russia","Action, Thriller",True,20th Century Fox,15
2013,tt2194499,About Time,ok-disagree,ok,PASS,12000000,UK,"Comedy, Drama, Fantasy, Romance, Sci-Fi",False,Universal Pictures,69
2013,tt1814621,Admission,ok,ok,PASS,13000000,USA,"Comedy, Drama, Romance",True,Focus Features,39
2013,tt1815862,After Earth,notalk,notalk,FAIL,130000000,USA,"Action, Adventure, Sci-Fi",True,Sony Pictures,11
2013,tt1800241,American Hustle,ok-disagree,ok,PASS,40000000,USA,"Crime, Drama",True,Sony Pictures,92
2013,tt1322269,August: Osage County,ok,ok,PASS,25000000,USA,Drama,True,The Weinstein Company,66
2013,tt1559547,Beautiful Creatures,ok,ok,PASS,50000000,USA,"Drama, Fantasy, Romance",True,Warner Bros. Pictures,47
2013,tt2334873,Blue Jasmine,ok-disagree,ok,PASS,18000000,USA,Drama,True,Sony Pictures Classics,90
2013,tt1535109,Captain Phillips,notalk,notalk,FAIL,55000000,USA,"Biography, Drama, Thriller",True,Sony Pictures,93
2013,tt1939659,Carrie,ok,ok,PASS,30000000,USA,"Drama, Horror",True,Sony Pictures,50
2013,tt1985966,Cloudy with a Chance of Meatballs 2,nowomen-disagree,nowomen,FAIL,78000000,USA,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",True,Sony Pictures,71
2013,tt1690953,Despicable Me 2,ok,ok,PASS,76000000,"USA, France, Japan","Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",True,Universal Pictures,74
2013,tt2229499,Don Jon,dubious-disagree,dubious,FAIL,5500000,USA,"Comedy, Drama, Romance",True,Relativity Media,79
2013,tt1535108,Elysium,ok-disagree,ok,PASS,120000000,USA,"Action, Drama, Sci-Fi",True,TriStar Pictures,66
2013,tt1731141,Ender&#39;s Game,men,men,FAIL,110000000,USA,"Action, Adventure, Fantasy, Sci-Fi",True,Summit Entertainment,61
2013,tt0848537,Epic,ok-disagree,ok,PASS,100000000,USA,"Animation, Adventure, Family, Fantasy, Thriller",True,Twentieth Century Fox,65
2013,tt0765446,Escape from Planet Earth,ok,ok,PASS,40000000,"USA, Canada","Animation, Adventure, Comedy, Family, Sci-Fi",True,The Weinstein Co.,34
2013,tt1211956,Escape Plan,men,men,FAIL,70000000,USA,"Action, Crime, Mystery, Sci-Fi, Thriller",True,Summit Entertainment,50
2013,tt1288558,Evil Dead,ok-disagree,ok,PASS,17000000,USA,"Fantasy, Horror, Thriller",True,TriStar Pictures,63
2013,tt1905041,Fast and Furious 6,ok-disagree,ok,PASS,160000000,"USA, Japan, Spain, UK","Action, Crime, Thriller",True,Universal Pictures,70
2013,tt2294629,Frozen,ok,ok,PASS,150000000,USA,"Animation, Adventure, Comedy, Family, Fantasy, Musical",True,Walt Disney Pictures,90
2013,tt1583421,G.I. Joe: Retaliation,ok-disagree,ok,PASS,140000000,USA,"Action, Adventure, Sci-Fi, Thriller",True,Paramount Pictures,29
2013,tt1321870,Gangster Squad,notalk,notalk,FAIL,60000000,USA,"Action, Crime, Drama, Thriller",True,Warner Bros.,32
2013,tt2425486,Gloria,ok,ok,PASS,30000000,"Chile, Spain","Comedy, Drama, Romance",False,Roadside Attractions,99
2013,tt1454468,Gravity,nowomen-disagree,nowomen,FAIL,110000000,"UK, USA","Drama, Sci-Fi, Thriller",True,Warner Bros. Pictures,96
2013,tt2191701,Grown Ups 2,men-disagree,men,FAIL,80000000,USA,Comedy,True,Sony Pictures,7
2013,tt1428538,Hansel &amp; Gretel: Witch Hunters,ok,ok,PASS,50000000,"Germany, USA","Action, Fantasy, Horror",True,Paramount Pictures/MGM,15
2013,tt1798709,Her,men-disagree,men,FAIL,23000000,USA,"Drama, Romance, Sci-Fi",True,Warner Bros. Pictures,94
2013,tt2024432,Identity Thief,men-disagree,men,FAIL,35000000,USA,"Adventure, Comedy, Crime, Drama",True,Universal Pictures,19
2013,tt2226417,Insidious: Chapter 2,men,men,FAIL,5000000,"USA, Canada","Horror, Mystery, Thriller",True,FilmDistrict,39
2013,tt1300854,Iron Man 3,dubious-disagree,dubious,FAIL,200000000,USA,"Action, Adventure, Sci-Fi",True,Walt Disney Pictures,79
2013,tt1351685,Jack the Giant Slayer,nowomen-disagree,nowomen,FAIL,195000000,USA,"Adventure, Fantasy",True,Warner Bros.,52
2013,tt1650554,Kick-Ass 2,ok,ok,PASS,28000000,"USA, UK","Action, Comedy, Crime",True,Universal Pictures,32
2013,tt1204975,Last Vegas,notalk,notalk,FAIL,28000000,USA,"Comedy, Drama",True,CBS Films,45
2013,tt1327773,Lee Daniels&#39; The Butler,ok,ok,PASS,30000000,USA,"Biography, Drama",True,The Weinstein Company,71
2013,tt2002718,Machete Kills,ok,ok,PASS,2000000,"USA, Russia","Action, Crime, Sci-Fi, Thriller",True,Open Road,30
2013,tt2023587,Mama,ok,ok,PASS,15000000,"Canada, Spain","Horror, Thriller",False,Universal Pictures,65
2013,tt0770828,Man of Steel,ok-disagree,ok,PASS,225000000,"USA, UK","Action, Adventure, Sci-Fi",True,Warner Bros. Pictures,56
2013,tt1821549,Nebraska,ok-disagree,ok,PASS,12000000,USA,"Adventure, Comedy, Drama",True,Paramount Pictures,91
2013,tt1670345,Now You See Me,notalk-disagree,notalk,FAIL,75000000,"USA, France","Crime, Mystery, Thriller",True,Lionsgate Films,50
2013,tt1483013,Oblivion,men-disagree,men,FAIL,120000000,USA,"Action, Adventure, Sci-Fi",True,Universal Pictures,52
2013,tt2302755,Olympus Has Fallen,notalk,notalk,FAIL,70000000,USA,"Action, Thriller",True,FilmDistrict,49
2013,tt1623205,Oz the Great and Powerful,ok-disagree,ok,PASS,200000000,USA,"Adventure, Family, Fantasy",True,Walt Disney Pictures,59
2013,tt1663662,Pacific Rim,notalk-disagree,notalk,FAIL,190000000,USA,"Action, Adventure, Sci-Fi",True,Warner Bros. Pictures,72
2013,tt1980209,Pain &amp; Gain,notalk,notalk,FAIL,26000000,USA,"Action, Comedy, Crime, Drama, Thriller",True,Paramount Studios,51
2013,tt1904996,Parker,ok,ok,PASS,35000000,USA,"Action, Crime, Thriller",True,FilmDistrict,41
2013,tt1699755,Peeples,dubious,dubious,FAIL,15000000,USA,"Comedy, Romance",True,Lionsgate Films,37
