year,imdb,title,clean_test,clean_test_numeric,binary,budget,Country,Genre,isAction,isCrime,isUSFilm,Production,RT_Score
2013,tt1711425,21 &amp; Over,notalk,1,FAIL,13000000,USA,Comedy,FALSE,FALSE,TRUE,Relativity Media,25
2012,tt1343727,Dredd 3D,ok,3,PASS,45000000,"UK, South Africa, USA, India","Action, Crime, Sci-Fi",TRUE,TRUE,TRUE,Lionsgate Films,79
2013,tt2024544,12 Years a Slave,notalk,1,FAIL,20000000,"USA, UK","Biography, Drama, History",FALSE,FALSE,TRUE,Fox Searchlight,95
2013,tt1272878,2 Guns,notalk,1,FAIL,61000000,USA,"Action, Comedy, Crime, Thriller",TRUE,TRUE,TRUE,Universal Pictures,64
2013,tt0453562,42,men,2,FAIL,40000000,USA,"Biography, Drama, Sport",FALSE,FALSE,TRUE,Warner Bros. Pictures,80
2013,tt1335975,47 Ronin,men,2,FAIL,225000000,"USA, UK, Japan, Hungary","Action, Adventure, Drama, Fantasy",TRUE,FALSE,TRUE,Universal Pictures,15
2013,tt1606378,A Good Day to Die Hard,notalk,1,FAIL,92000000,"USA, Russia","Action, Thriller",TRUE,FALSE,TRUE,20th Century Fox,15
2013,tt2194499,About Time,ok,3,PASS,12000000,UK,"Comedy, Drama, Fantasy, Romance, Sci-Fi",FALSE,FALSE,FALSE,Universal Pictures,69
2013,tt1814621,Admission,ok,3,PASS,13000000,USA,"Comedy, Drama, Romance",FALSE,FALSE,TRUE,Focus Features,39
2013,tt1815862,After Earth,notalk,1,FAIL,130000000,USA,"Action, Adventure, Sci-Fi",TRUE,FALSE,TRUE,Sony Pictures,11
2013,tt1800241,American Hustle,ok,3,PASS,40000000,USA,"Crime, Drama",FALSE,TRUE,TRUE,Sony Pictures,92
2013,tt1322269,August: Osage County,ok,3,PASS,25000000,USA,Drama,FALSE,FALSE,TRUE,The Weinstein Company,66
2013,tt1559547,Beautiful Creatures,ok,3,PASS,50000000,USA,"Drama, Fantasy, Romance",FALSE,FALSE,TRUE,Warner Bros. Pictures,47
2013,tt2334873,Blue Jasmine,ok,3,PASS,18000000,USA,Drama,FALSE,FALSE,TRUE,Sony Pictures Classics,90
2013,tt1535109,Captain Phillips,notalk,1,FAIL,55000000,USA,"Biography, Drama, Thriller",FALSE,FALSE,TRUE,Sony Pictures,93
2013,tt1939659,Carrie,ok,3,PASS,30000000,USA,"Drama, Horror",FALSE,FALSE,TRUE,Sony Pictures,50
2013,tt1985966,Cloudy with a Chance of Meatballs 2,nowomen,0,FAIL,78000000,USA,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",FALSE,FALSE,TRUE,Sony Pictures,71
2013,tt1690953,Despicable Me 2,ok,3,PASS,76000000,"USA, France, Japan","Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",FALSE,FALSE,TRUE,Universal Pictures,74
2013,tt1535108,Elysium,ok,3,PASS,120000000,USA,"Action, Drama, Sci-Fi",TRUE,FALSE,TRUE,TriStar Pictures,66
2013,tt1731141,Ender&#39;s Game,men,2,FAIL,110000000,USA,"Action, Adventure, Fantasy, Sci-Fi",TRUE,FALSE,TRUE,Summit Entertainment,61
2013,tt0848537,Epic,ok,3,PASS,100000000,USA,"Animation, Adventure, Family, Fantasy, Thriller",FALSE,FALSE,TRUE,Twentieth Century Fox,65
2013,tt0765446,Escape from Planet Earth,ok,3,PASS,40000000,"USA, Canada","Animation, Adventure, Comedy, Family, Sci-Fi",FALSE,FALSE,TRUE,The Weinstein Co.,34
2013,tt1211956,Escape Plan,men,2,FAIL,70000000,USA,"Action, Crime, Mystery, Sci-Fi, Thriller",TRUE,TRUE,TRUE,Summit Entertainment,50
2013,tt1288558,Evil Dead,ok,3,PASS,17000000,USA,"Fantasy, Horror, Thriller",FALSE,FALSE,TRUE,TriStar Pictures,63
2013,tt1905041,Fast and Furious 6,ok,3,PASS,160000000,"USA, Japan, Spain, UK","Action, Crime, Thriller",TRUE,TRUE,TRUE,Universal Pictures,70
2013,tt2294629,Frozen,ok,3,PASS,150000000,USA,"Animation, Adventure, Comedy, Family, Fantasy, Musical",FALSE,FALSE,TRUE,Walt Disney Pictures,90
2013,tt1583421,G.I. Joe: Retaliation,ok,3,PASS,140000000,USA,"Action, Adventure, Sci-Fi, Thriller",TRUE,FALSE,TRUE,Paramount Pictures,29
2013,tt1321870,Gangster Squad,notalk,1,FAIL,60000000,USA,"Action, Crime, Drama, Thriller",TRUE,TRUE,TRUE,Warner Bros.,32
2013,tt2425486,Gloria,ok,3,PASS,30000000,"Chile, Spain","Comedy, Drama, Romance",FALSE,FALSE,FALSE,Roadside Attractions,99
2013,tt1454468,Gravity,nowomen,0,FAIL,110000000,"UK, USA","Drama, Sci-Fi, Thriller",FALSE,FALSE,TRUE,Warner Bros. Pictures,96
2013,tt2191701,Grown Ups 2,men,2,FAIL,80000000,USA,Comedy,FALSE,FALSE,TRUE,Sony Pictures,7
2013,tt1428538,Hansel &amp; Gretel: Witch Hunters,ok,3,PASS,50000000,"Germany, USA","Action, Fantasy, Horror",TRUE,FALSE,TRUE,Paramount Pictures/MGM,15
2013,tt1798709,Her,men,2,FAIL,23000000,USA,"Drama, Romance, Sci-Fi",FALSE,FALSE,TRUE,Warner Bros. Pictures,94
2013,tt2024432,Identity Thief,men,2,FAIL,35000000,USA,"Adventure, Comedy, Crime, Drama",FALSE,TRUE,TRUE,Universal Pictures,19
2013,tt2226417,Insidious: Chapter 2,men,2,FAIL,5000000,"USA, Canada","Horror, Mystery, Thriller",FALSE,FALSE,TRUE,FilmDistrict,39
2013,tt1351685,Jack the Giant Slayer,nowomen,0,FAIL,195000000,USA,"Adventure, Fantasy",FALSE,FALSE,TRUE,Warner Bros.,52
2013,tt1650554,Kick-Ass 2,ok,3,PASS,28000000,"USA, UK","Action, Comedy, Crime",TRUE,TRUE,TRUE,Universal Pictures,32
2013,tt1204975,Last Vegas,notalk,1,FAIL,28000000,USA,"Comedy, Drama",FALSE,FALSE,TRUE,CBS Films,45
2013,tt1327773,Lee Daniels&#39; The Butler,ok,3,PASS,30000000,USA,"Biography, Drama",FALSE,FALSE,TRUE,The Weinstein Company,71
2013,tt2002718,Machete Kills,ok,3,PASS,2000000,"USA, Russia","Action, Crime, Sci-Fi, Thriller",TRUE,TRUE,TRUE,Open Road,30
2013,tt2023587,Mama,ok,3,PASS,15000000,"Canada, Spain","Horror, Thriller",FALSE,FALSE,FALSE,Universal Pictures,65
2013,tt0770828,Man of Steel,ok,3,PASS,225000000,"USA, UK","Action, Adventure, Sci-Fi",TRUE,FALSE,TRUE,Warner Bros. Pictures,56
2013,tt1821549,Nebraska,ok,3,PASS,12000000,USA,"Adventure, Comedy, Drama",FALSE,FALSE,TRUE,Paramount Pictures,91
2013,tt1670345,Now You See Me,notalk,1,FAIL,75000000,"USA, France","Crime, Mystery, Thriller",FALSE,TRUE,TRUE,Lionsgate Films,50
2013,tt1483013,Oblivion,men,2,FAIL,120000000,USA,"Action, Adventure, Sci-Fi",TRUE,FALSE,TRUE,Universal Pictures,52
2013,tt2302755,Olympus Has Fallen,notalk,1,FAIL,70000000,USA,"Action, Thriller",TRUE,FALSE,TRUE,FilmDistrict,49
2013,tt1623205,Oz the Great and Powerful,ok,3,PASS,200000000,USA,"Adventure, Family, Fantasy",FALSE,FALSE,TRUE,Walt Disney Pictures,59
2013,tt1663662,Pacific Rim,notalk,1,FAIL,190000000,USA,"Action, Adventure, Sci-Fi",TRUE,FALSE,TRUE,Warner Bros. Pictures,72
2013,tt1980209,Pain &amp; Gain,notalk,1,FAIL,26000000,USA,"Action, Comedy, Crime, Drama, Thriller",TRUE,TRUE,TRUE,Paramount Studios,51
2013,tt1904996,Parker,ok,3,PASS,35000000,USA,"Action, Crime, Thriller",TRUE,TRUE,TRUE,FilmDistrict,41
2013,tt1854564,Percy Jackson: Sea of Monsters,ok,3,PASS,90000000,USA,"Adventure, Family, Fantasy, Thriller",FALSE,FALSE,TRUE,20th Century Fox,42
2013,tt1392214,Prisoners,ok,3,PASS,46000000,USA,"Crime, Drama, Mystery, Thriller",FALSE,TRUE,TRUE,Warner Bros.,80
2013,tt0790736,R.I.P.D.,notalk,1,FAIL,130000000,USA,"Action, Adventure, Comedy, Fantasy, Sci-Fi",TRUE,FALSE,TRUE,Universal Pictures,13
2013,tt1821694,Red 2,ok,3,PASS,84000000,"USA, France, Canada","Action, Comedy, Crime, Thriller",TRUE,TRUE,TRUE,Lionsgate Films,44
2013,tt1411250,Riddick,notalk,1,FAIL,38000000,"Canada, USA","Action, Adventure, Sci-Fi, Thriller",TRUE,FALSE,TRUE,Universal Classics,57
2013,tt2364841,Runner Runner,nowomen,0,FAIL,30000000,USA,"Crime, Thriller",FALSE,TRUE,TRUE,20th Century Fox,8
2013,tt1979320,Rush,notalk,1,FAIL,38000000,"UK, Germany, USA","Action, Biography, Drama, Sport",TRUE,FALSE,TRUE,Universal Pictures,89
2013,tt1702439,Safe Haven,ok,3,PASS,28000000,USA,"Drama, Romance, Thriller",FALSE,FALSE,TRUE,Relativity Media,13
2013,tt2140373,Saving Mr. Banks,ok,3,PASS,35000000,"USA, UK, Australia","Biography, Comedy, Drama, Family, Music",FALSE,FALSE,TRUE,Walt Disney Pictures,79
2013,tt2053463,Side Effects,ok,3,PASS,30000000,USA,"Crime, Drama, Mystery, Thriller",FALSE,TRUE,TRUE,Open Road Films,82
2013,tt1408101,Star Trek Into Darkness,notalk,1,FAIL,190000000,USA,"Action, Adventure, Sci-Fi",TRUE,FALSE,TRUE,Paramount,84
2013,tt1572315,Texas Chainsaw 3D,ok,3,PASS,20000000,USA,"Horror, Thriller",FALSE,FALSE,TRUE,Lionsgate Films,18
2013,tt1931435,The Big Wedding,ok,3,PASS,32500000,USA,"Comedy, Drama, Romance",FALSE,FALSE,TRUE,Lionsgate Films,7
2013,tt0816442,The Book Thief,ok,3,PASS,19000000,"USA, Germany","Drama, War",FALSE,FALSE,TRUE,20th Century Fox,47
2013,tt1911644,The Call,ok,3,PASS,13000000,USA,"Crime, Drama, Horror, Thriller",FALSE,TRUE,TRUE,Sony Pictures,45
2013,tt1457767,The Conjuring,ok,3,PASS,20000000,USA,"Horror, Mystery, Thriller",FALSE,FALSE,TRUE,Warner Bros. Pictures,85
2013,tt2193215,The Counselor,ok,3,PASS,25000000,"UK, USA","Crime, Drama, Thriller",FALSE,TRUE,TRUE,Fox Films,34
2013,tt0481499,The Croods,men,2,FAIL,135000000,USA,"Animation, Action, Adventure, Comedy, Family, Fantasy",TRUE,FALSE,TRUE,20th Century Fox,71
2013,tt2404311,The Family,men,2,FAIL,30000000,"USA, France","Comedy, Crime, Thriller",FALSE,TRUE,TRUE,Relativity Media,28
2013,tt1837703,The Fifth Estate,notalk,1,FAIL,26000000,"USA, India, Belgium","Biography, Drama, Thriller",FALSE,FALSE,TRUE,Walt Disney Pictures,36
2013,tt2005374,The Frozen Ground,nowomen,0,FAIL,19200000,USA,"Crime, Drama, Mystery, Thriller",FALSE,TRUE,TRUE,The Film Arcade,60
2013,tt1951261,The Hangover part 3,men,2,FAIL,103000000,USA,"Adventure, Comedy, Crime",FALSE,TRUE,TRUE,Warner Bros. Pictures,20
2013,tt2404463,The Heat,ok,3,PASS,43000000,USA,"Action, Comedy, Crime",TRUE,TRUE,TRUE,20th Century Fox,65
2013,tt1170358,The Hobbit: The Desolation of Smaug,notalk,1,FAIL,250000000,"USA, New Zealand","Adventure, Fantasy",FALSE,FALSE,TRUE,Warner Bros.,74
2013,tt1951264,The Hunger Games: Catching Fire,ok,3,PASS,130000000,USA,"Action, Adventure, Sci-Fi, Thriller",TRUE,FALSE,TRUE,Lionsgate Films,89
2013,tt0790628,The Incredible Burt Wonderstone,notalk,1,FAIL,32000000,USA,"Adventure, Comedy, Fantasy",FALSE,FALSE,TRUE,Warner Bros. Pictures,37
2013,tt2234155,The Internship,notalk,1,FAIL,58000000,USA,Comedy,FALSE,FALSE,TRUE,20th Century Fox,35
2013,tt2034139,The Last Exorcism Part II,ok,3,PASS,4000000,"France, USA","Drama, Horror, Thriller",FALSE,FALSE,TRUE,CBS Films,15
2013,tt1210819,The Lone Ranger,notalk,1,FAIL,275000000,USA,"Action, Adventure, Western",TRUE,FALSE,TRUE,Walt Disney Pictures,31
2013,tt1538403,The Mortal Instruments: City of Bones,ok,3,PASS,60000000,"USA, Germany, Canada, UK","Action, Fantasy, Horror, Mystery, Romance",TRUE,FALSE,TRUE,Sony Pictures,14
2013,tt2017020,The Smurfs 2,ok,3,PASS,110000000,"USA, France, Canada, Belgium","Animation, Adventure, Comedy, Family, Fantasy",FALSE,FALSE,TRUE,Sony Pictures,14
2013,tt1758795,The To Do List,ok,3,PASS,1500000,USA,"Comedy, Romance",FALSE,FALSE,TRUE,CBS Films,54
2013,tt1727388,The Way Way Back,ok,3,PASS,5000000,USA,"Comedy, Drama",FALSE,FALSE,TRUE,Fox Searchlight,84
2013,tt0993846,The Wolf of Wall Street,notalk,1,FAIL,100000000,USA,"Biography, Crime, Drama",FALSE,TRUE,TRUE,Paramount Studios,78
