year,FAIL,PASS,pass rate
1976,5,3,37.5
1977,5,2,28.57142857
1978,6,2,25
1979,3,2,40
1980,10,4,28.57142857
1981,8,1,11.11111111
1982,11,3,21.42857143
1983,3,2,40
1984,13,3,18.75
1985,6,4,40
1986,6,4,40
1987,12,2,14.28571429
1988,10,9,47.36842105
1989,10,4,28.57142857
1990,9,6,40
1991,7,6,46.15384615
1992,16,4,20
1993,8,8,50
1994,17,9,34.61538462
1995,18,18,50
1996,21,21,50
1997,23,28,54.90196078
1998,38,24,38.70967742
1999,33,23,41.07142857
2000,34,29,46.03174603
2001,31,33,51.5625
2002,43,37,46.25
2003,30,34,53.125
2004,36,45,55.55555556
2005,46,54,54
2006,47,43,47.77777778
2007,32,41,56.16438356
2008,50,51,50.4950495
2009,82,42,33.87096774
2010,68,61,47.28682171
2011,71,53,42.74193548
2012,49,37,43.02325581
2013,53,46,46.46464646
